Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Epping,108 McDonalds Rd,3,h,552000,S,Ray,9/12/17,19.6,3076,3,1,1,566,98,1990,Whittlesea City Council,-37.64692,145.05217,Northern Metropolitan,10926
Heidelberg,36 Buckingham Dr,3,h,1030000,S,Miles,30/07/2016,10.6,3084,5,3,2,649,357,2017,Banyule City Council,-37.7501,145.0822,Eastern Metropolitan,2890
Essendon,3/48 Deakin St,3,u,700000,S,Nelson,22/04/2017,8,3040,3,1,1,227,120,2005,Moonee Valley City Council,-37.7496,144.892,Western Metropolitan,9264
Ascot Vale,67 Hurtle St,3,h,1180000,SP,Brad,17/09/2016,5.9,3032,3,2,2,617,149,1930,Moonee Valley City Council,-37.7742,144.906,Western Metropolitan,6567
Ascot Vale,4 Hunt Cr,4,h,1800000,PI,Raine,9/12/17,4.3,3032,4,3,2,561,241,1950,Moonee Valley City Council,-37.77274,144.90328,Western Metropolitan,6567
Templestowe Lower,13 Tasker St,3,h,1010000,S,Barry,16/04/2016,13.8,3107,3,2,2,751,175,1968,Manningham City Council,-37.77,145.1025,Eastern Metropolitan,5420
West Footscray,31 Napoleon St,3,h,860000,S,Biggin,26/07/2016,8.2,3012,3,1,2,501,147,1960,Maribyrnong City Council,-37.7912,144.868,Western Metropolitan,5058
Templestowe Lower,140 Swanston St,4,h,1375000,VB,Jellis,27/05/2017,12.4,3107,4,2,1,662,240,1950,Manningham City Council,-37.75763,145.09974,Eastern Metropolitan,5420
Montrose,44 Richards Rd,4,h,735000,S,McGrath,8/7/17,28.8,3765,4,2,2,846,160,1980,Yarra Ranges Shire Council,-37.81018,145.35396,Eastern Victoria,2493
Prahran,7/72 Williams Rd,2,u,550000,SP,Thomson,13/05/2017,4.5,3181,2,1,1,72,69,1976,Stonnington City Council,-37.8542,145.0024,Southern Metropolitan,7717
Brighton,40 Whyte St,3,h,1900000,PI,Nick,6/1/18,10.5,3186,3,2,2,386,118,1953,Bayside City Council,-37.92276,144.99957,Southern Metropolitan,10579
Fitzroy North,236 Barkly St,2,h,1055000,S,Chambers,29/04/2017,3.5,3068,2,1,0,192,85.2,1910,Moreland City Council,-37.7793,144.9879,Northern Metropolitan,6244
Heidelberg,4/51 Yarra St,2,t,705000,S,Miles,6/8/16,10.6,3084,2,1,1,182,110,1973,Banyule City Council,-37.7587,145.0657,Eastern Metropolitan,2890
Malvern East,66 Argyll St,3,h,1100000,PI,Thomson,24/09/2016,11.2,3145,3,1,2,645,126,1960,Stonnington City Council,-37.875,145.0861,Southern Metropolitan,8801
Glen Huntly,10 James St,4,h,1900000,VB,hockingstuart,17/03/2018,10.1,3163,4,2,2,617,207,1950,Glen Eira City Council,-37.89042,145.04058,Southern Metropolitan,2403
Werribee,1 Shannon Cl,3,h,430000,SP,Barry,25/11/2017,14.7,3030,3,1,0,542,110,1980,Wyndham City Council,-37.8814,144.6621,Western Metropolitan,16166
Hoppers Crossing,27 Quarrion Ct,3,h,473000,S,YPA,17/03/2018,18.4,3029,3,2,1,392,108,2000,Wyndham City Council,-37.85095,144.67452,Western Metropolitan,13830
Brighton East,26 Billson St,4,h,2800000,PI,buyMyplace,18/11/2017,10.3,3187,4,3,2,692,335,2012,Bayside City Council,-37.9178,145.0139,Southern Metropolitan,6938
Footscray,3 Park St,4,h,775000,S,Sweeney,8/10/16,6.4,3011,2,1,2,277,87,1890,Maribyrnong City Council,-37.7901,144.8883,Western Metropolitan,7570
Carnegie,55 Tranmere Av,3,h,1840000,S,Ray,15/07/2017,10.1,3163,3,2,1,483,171,1920,Glen Eira City Council,-37.89204,145.06086,Southern Metropolitan,7822
Hawthorn East,45 Roseberry St,2,h,1335000,S,Fletchers,17/09/2016,7.5,3123,2,1,0,229,70,1900,Boroondara City Council,-37.8265,145.0484,Southern Metropolitan,6482
Ferntree Gully,62 Helen Rd,4,h,851000,S,Ray,17/03/2018,24.8,3156,4,2,2,722,170,1970,Knox City Council,-37.87574,145.26685,Eastern Metropolitan,10788
Oakleigh South,4 Dalgan St,4,h,1410000,S,Buxton,13/05/2017,14.7,3167,4,2,4,590,161,1950,Kingston City Council,-37.9316,145.0821,South-Eastern Metropolitan,3692
Wollert,10 Empress Av,4,h,850000,S,hockingstuart,3/3/18,25.5,3750,4,3,2,612,256,2015,Whittlesea City Council,-37.61426,145.01891,Northern Metropolitan,2940
Airport West,163 Halsey Rd,2,h,650000,S,Prime,27/05/2017,10.4,3042,2,1,3,374,96,1950,Moonee Valley City Council,-37.71811,144.87693,Western Metropolitan,3464
Thomastown,18 Darebin Dr,3,h,651000,S,Harcourts,24/06/2017,15.3,3074,3,1,2,555,135,1970,Whittlesea City Council,-37.68211,145.03204,Northern Metropolitan,7955
Coburg North,10 Shore Gr,3,t,830000,S,Ray,29/07/2017,6.7,3058,3,2,2,275,142,2008,Darebin City Council,-37.73156,144.97087,Northern Metropolitan,3445
Balwyn North,45A Helston St,4,h,1460000,VB,hockingstuart,12/8/17,9.7,3104,4,2,2,433,185,1955,Boroondara City Council,-37.78368,145.09545,Southern Metropolitan,7809
Warrandyte,24 Fossickers Wy,3,h,826000,S,Gardiner,15/07/2017,21.1,3113,3,2,0,830,135,1975,Manningham City Council,-37.75079,145.20617,Eastern Metropolitan,2003
Keilor East,2/49 Quinn Gr,3,u,560000,S,Moonee,14/05/2016,12.8,3033,3,1,2,352,102,2000,Brimbank City Council,-37.7459,144.8673,Western Metropolitan,5629
Port Melbourne,84 Ross St,3,h,1960000,SP,Greg,16/09/2017,3.5,3207,3,2,0,253,230,1900,Melbourne City Council,-37.836,144.93701,Southern Metropolitan,8648
Kensington,51 Rankins Rd,2,h,765000,S,Nardella,10/12/16,4.2,3031,2,1,2,158,76,1965,Melbourne City Council,-37.7902,144.9319,Northern Metropolitan,5263
Hawthorn East,748 Burwood Rd,5,h,1700000,S,Marshall,6/8/16,7.5,3123,5,3,2,431,203,1920,Boroondara City Council,-37.825,145.0536,Southern Metropolitan,6482
Eltham,5 Thomas St,3,h,810000,VB,Morrison,19/08/2017,18,3095,3,2,2,868,135,1980,Banyule City Council,-37.70659,145.16345,Eastern Metropolitan,6990
Williamstown North,2/60 Kororoit Creek Rd,3,t,720000,SP,Jas,13/05/2017,8.9,3016,3,2,2,146,141,2001,Hobsons Bay City Council,-37.857,144.8846,Western Metropolitan,802
Pascoe Vale,3/43 Danin St,3,t,676000,S,Brad,3/9/17,8.5,3044,3,2,2,122,108,2012,Moreland City Council,-37.72304,144.92864,Northern Metropolitan,7485
Clayton South,37 Orloff Cl,4,h,877500,S,Ray,7/10/17,17.5,3169,4,2,3,598,154,1970,Kingston City Council,-37.95962,145.13565,South-Eastern Metropolitan,4734
Briar Hill,23 Tower Dr,3,h,825000,S,Nelson,6/1/18,16.1,3088,3,2,2,641,154,1977,Banyule City Council,-37.70318,145.11929,Eastern Metropolitan,1390
Glen Waverley,707 Waverley Rd,5,h,1116500,S,Harcourts,15/07/2017,16.7,3150,5,2,2,701,182.85,1960,Monash City Council,-37.88902,145.16678,Eastern Metropolitan,15321
Craigieburn,28/60 Cradle Mountain Dr,2,t,310000,PI,Ray,15/07/2017,20.6,3064,2,1,1,38,114,2013,Hume City Council,-37.57467,144.92229,Northern Metropolitan,15510
Glenroy,129 Glenroy Rd,3,h,830000,S,Nelson,3/9/17,11.2,3046,3,1,2,655,110,1960,Moreland City Council,-37.70608,144.92541,Northern Metropolitan,8870
Pascoe Vale,95 Essex St,4,h,985000,SP,Ray,25/02/2017,9.9,3044,4,2,2,511,182,2007,Moreland City Council,-37.7268,144.9401,Northern Metropolitan,7485
Windsor,3/45 Williams Rd,2,u,600000,SP,hockingstuart,24/09/2016,5.1,3181,2,1,1,1452,96,1970,Port Phillip City Council,-37.8554,145.0018,Southern Metropolitan,4380
Brunswick East,22 Hickford St,2,h,1283000,S,Jellis,13/05/2017,4.5,3057,2,1,1,263,109,1910,Moreland City Council,-37.7661,144.9742,Northern Metropolitan,5533
Keilor East,148 Rachelle Rd,4,h,1160000,S,Nelson,26/08/2017,11.7,3033,4,3,4,670,273,1970,Brimbank City Council,-37.73492,144.87231,Western Metropolitan,5629
Elsternwick,8 Ross St,4,h,1100000,VB,hockingstuart,3/12/16,8.5,3185,4,2,0,147,159,1910,Glen Eira City Council,-37.8852,144.9997,Southern Metropolitan,4898
Templestowe,7 Clays Ct,4,h,1635000,S,Barry,8/7/17,15.5,3106,4,3,2,896,215,1985,Manningham City Council,-37.76797,145.13799,Eastern Metropolitan,6202
Essendon,1/19 Cameron Rd,2,u,691000,SP,Brad,25/02/2017,8,3040,2,1,1,201,80,1995,Moonee Valley City Council,-37.7454,144.928,Western Metropolitan,9264
Coburg North,25 Williams Rd,3,h,707000,S,Brad,13/08/2016,9.2,3058,3,2,3,556,129,1950,Darebin City Council,-37.7305,144.9605,Northern Metropolitan,3445
Malvern East,2b Brunel St,3,h,1680000,S,hockingstuart,22/08/2016,11.2,3145,3,2,2,234,201,1998,Stonnington City Council,-37.8695,145.05,Southern Metropolitan,8801
Ascot Vale,6 Waller Ct,3,h,786000,S,Brad,26/07/2016,5.9,3032,3,2,1,576,120,1940,Moonee Valley City Council,-37.7816,144.9217,Western Metropolitan,6567
Brunswick,39 Wilkinson St,2,h,800000,VB,hockingstuart,3/9/17,5.2,3056,2,1,0,140,90,1890,Moreland City Council,-37.76806,144.9598,Northern Metropolitan,11918
Malvern East,22 Quentin Rd,4,h,1380000,S,hockingstuart,20/05/2017,11.2,3145,4,2,2,230,178,2007,Stonnington City Council,-37.8806,145.0831,Southern Metropolitan,8801
Elwood,1/121 Brighton Rd,2,u,720000,S,Chisholm,29/07/2017,7.2,3184,2,1,2,797,90,1920,Port Phillip City Council,-37.87449,144.99059,Southern Metropolitan,8989
Bentleigh East,1 Gladesville Dr,5,h,1220000,S,Buxton,1/7/17,13.8,3165,5,2,2,611,188,1950,Glen Eira City Council,-37.93228,145.07026,Southern Metropolitan,10969
Keysborough,3 Cobain St,3,h,771000,S,Area,30/09/2017,25.2,3173,3,1,1,539,126,1969,Greater Dandenong City Council,-37.98916,145.17233,South-Eastern Metropolitan,8459
Aberfeldie,4 Brunel Ct,3,h,1190000,S,Barry,17/09/2016,9.1,3040,3,1,1,465,115,1950,Moonee Valley City Council,-37.7626,144.8954,Western Metropolitan,1543
Preston,50 Garnet St,2,t,635000,S,Ray,17/03/2018,8.4,3072,2,1,2,152,110,2005,Darebin City Council,-37.74542,145.00086,Northern Metropolitan,14577
Templestowe Lower,40 Dellfield Dr,5,h,950000,PI,Barry,10/9/16,13.8,3107,5,3,2,700,220,1973,Manningham City Council,-37.7658,145.124,Eastern Metropolitan,5420
Hawthorn,1 College St,3,h,1560000,PI,Jellis,18/03/2017,4.6,3122,3,2,0,198,148,1910,Boroondara City Council,-37.8169,145.0234,Southern Metropolitan,11308
Altona,232 Blyth St,3,h,1225000,S,Barlow,12/8/17,11,3018,3,1,1,697,132,1970,Hobsons Bay City Council,-37.87256,144.8078,Western Metropolitan,5301
Reservoir,1/74 Miranda Rd,3,h,605000,S,Love,13/05/2017,11.2,3073,3,1,2,371,112,1950,Darebin City Council,-37.7068,145.0193,Northern Metropolitan,21650
Richmond,4a Gardner St,2,t,1081000,S,hockingstuart,15/10/2016,2.6,3121,2,1,1,126,115,1995,Yarra City Council,-37.814,145.006,Northern Metropolitan,14949
Richmond,7/129 Hoddle St,2,u,890500,SP,Biggin,1/7/17,2.4,3121,2,2,2,180,123,1940,Yarra City Council,-37.81443,144.99079,Northern Metropolitan,14949
Elsternwick,8 Prentice St,3,h,2100000,VB,Biggin,3/3/18,7.2,3185,3,2,1,346,180,1890,Glen Eira City Council,-37.88319,145.01142,Southern Metropolitan,4898
Hughesdale,18 Paget St,2,h,1550000,S,Woodards,3/9/16,13,3166,2,1,1,732,97,1950,Monash City Council,-37.8931,145.0791,Southern Metropolitan,3145
Point Cook,53 Windorah Dr,4,h,631500,S,LJ,10/2/18,14.7,3030,4,2,2,400,192,2012,Wyndham City Council,-37.89867,144.72649,Western Metropolitan,15542
Niddrie,42 Newman Cr,4,h,950000,SP,Nelson,15/07/2017,10.4,3042,4,1,2,558,148,1970,Moonee Valley City Council,-37.73834,144.88197,Western Metropolitan,2291
Richmond,118 Somerset St,3,h,1214000,S,Nelson,6/5/17,2.6,3121,3,1,0,176,106,1900,Yarra City Council,-37.8162,145.006,Northern Metropolitan,14949
Oak Park,126A Winifred St,3,h,755000,SP,Eview,8/4/17,11.5,3046,3,2,1,341,170,2003,Moreland City Council,-37.7166,144.9104,Northern Metropolitan,2651
West Footscray,127 Stanhope St,4,h,1060000,S,Douglas,16/09/2017,6.4,3012,3,3,2,512,512,1920,Maribyrnong City Council,-37.79487,144.86353,Western Metropolitan,5058
Collingwood,84 Budd St,3,h,1075000,S,hockingstuart,16/04/2016,1.6,3066,3,1,0,183,104,1880,Yarra City Council,-37.7948,144.9875,Northern Metropolitan,4553
Werribee,3 Argyle Cr,4,h,455000,S,Ray,12/8/17,14.7,3030,4,1,4,534,101,1983,Wyndham City Council,-37.88496,144.66332,Western Metropolitan,16166
Lalor,4 Casey Dr,3,h,521000,S,Ray,3/6/17,16.3,3075,3,1,2,589,100,1975,Whittlesea City Council,-37.67056,145.03698,Northern Metropolitan,8279
Newport,78 Woods St,4,h,1420000,VB,Williams,3/3/18,6.2,3015,4,2,2,470,172,1950,Hobsons Bay City Council,-37.84525,144.87405,Western Metropolitan,5498
Fawkner,29 Jennifer St,3,h,741000,S,Peter,8/4/17,12.4,3060,3,1,3,578,128,1960,Hume City Council,-37.6966,144.9695,Northern Metropolitan,5070
Bentleigh,48 Tucker Rd,3,h,1045000,SP,hockingstuart,1/7/17,11.4,3204,3,1,1,401,114,1970,Glen Eira City Council,-37.92999,145.04932,Southern Metropolitan,6795
Ivanhoe,1/34 Edwin St,3,h,785000,S,Miles,7/11/16,7.9,3079,3,2,0,399,110,1950,Banyule City Council,-37.7551,145.05,Eastern Metropolitan,5549
Essendon,13 Gordon St,3,h,1398000,SP,Barry,8/7/17,7.5,3040,3,2,1,445,182,1960,Moonee Valley City Council,-37.75621,144.93401,Western Metropolitan,9264
Oakleigh,22 Heath Av,4,h,1455000,S,Buxton,3/2/18,12.3,3166,4,2,2,550,209,1920,Monash City Council,-37.90191,145.09857,Southern Metropolitan,3224
Ashwood,17 Parkhill Dr,4,h,1240000,S,Tim,19/11/2016,12.2,3147,4,2,2,766,192,1950,Monash City Council,-37.8629,145.1097,Southern Metropolitan,2894
Brunswick,157 Albion St,2,h,770000,S,Nelson,15/10/2016,5.2,3056,2,1,0,152,87,1910,Moreland City Council,-37.7611,144.966,Northern Metropolitan,11918
Braybrook,10 Sedge Cl,4,h,1000000,S,Nelson,22/04/2017,10.8,3019,4,3,2,475,319,2002,Maribyrnong City Council,-37.7759,144.8552,Western Metropolitan,3589
Coburg North,9 Ryland St,3,h,841000,S,Peter,16/09/2017,6.7,3058,3,1,3,533,150,1960,Darebin City Council,-37.72631,144.96274,Northern Metropolitan,3445
Preston,260 Gilbert Rd,4,h,1495000,PI,Woodards,24/02/2018,8.4,3072,4,1,3,653,197,1935,Darebin City Council,-37.74189,144.98967,Northern Metropolitan,14577
Hawthorn,78/8 Wallen Rd,4,u,1650000,VB,Kay,15/10/2016,4.6,3122,4,2,3,207,180,2002,Boroondara City Council,-37.8271,145.0243,Southern Metropolitan,11308
Balwyn North,1 Bolinda Rd,3,h,1700000,VB,Fletchers,13/08/2016,9.2,3104,3,2,3,763,168,1960,Boroondara City Council,-37.7935,145.0865,Southern Metropolitan,7809
Carrum Downs,13 Rundle Dr,3,h,550000,S,Harcourts,3/3/18,34.9,3201,3,2,2,509,117,1998,Frankston City Council,-38.09113,145.19244,South-Eastern Metropolitan,8060
Caulfield North,25 Malvern Gr,3,h,2005000,PI,Jellis,7/5/16,8.1,3161,4,2,3,361,237,2014,Glen Eira City Council,-37.8694,145.0296,Southern Metropolitan,6923
Brunswick,9 Blair St,4,h,1802500,S,Jellis,3/12/16,5.2,3056,4,3,1,238,93,1910,Moreland City Council,-37.7713,144.9643,Northern Metropolitan,11918
Carlton North,292 Amess St,4,h,1950000,S,Nelson,22/05/2016,3.2,3054,4,2,2,207,162,1900,Melbourne City Council,-37.7804,144.9748,Northern Metropolitan,3106
Keilor East,17 Ronald Gr,3,h,763000,S,Nelson,17/02/2018,11.7,3033,3,2,2,286,166,2003,Brimbank City Council,-37.73775,144.86645,Western Metropolitan,5629
Balwyn,54 Northcote Av,4,h,2360000,S,Fletchers,12/8/17,7.9,3103,4,3,2,848,214,1926,Boroondara City Council,-37.81462,145.08776,Southern Metropolitan,5682
Brunswick West,10/3 Allard St,1,u,275000,VB,Jellis,15/07/2017,5.2,3055,1,1,1,1388,36,1970,Moreland City Council,-37.7684,144.94214,Northern Metropolitan,7082
Carnegie,2/25 El Nido Gr,2,t,707000,SA,Ray,13/08/2016,11.4,3163,2,1,1,144,96,2000,Glen Eira City Council,-37.892,145.0482,Southern Metropolitan,7822
Viewbank,4 The Glade,3,h,960000,S,Miles,3/9/16,13.8,3084,4,2,2,656,183,1990,Banyule City Council,-37.7322,145.0995,Eastern Metropolitan,2698
Gladstone Park,245 Carrick Dr,3,h,629000,SP,Barry,12/8/17,12.9,3043,3,1,2,552,136,1980,Hume City Council,-37.68641,144.89826,Western Metropolitan,3285
Surrey Hills,22b Essex Rd,4,h,2200000,S,Jellis,7/5/16,11.2,3127,4,2,2,734,272,1920,Boroondara City Council,-37.8286,145.092,Southern Metropolitan,5457
Hampton East,10 Wickham Rd,4,h,1125000,PI,Buxton,23/09/2017,13.8,3188,4,1,1,700,175,1950,Bayside City Council,-37.94312,145.0244,Southern Metropolitan,2356
Mitcham,10A Alexander St,3,h,1050000,S,hockingstuart,17/02/2018,17.2,3132,3,1,2,658,99,1960,Whitehorse City Council,-37.81566,145.18819,Eastern Metropolitan,6871
Kew,7 Thomas St,4,h,3900000,PI,Jellis,17/03/2018,5.4,3101,4,3,3,774,115,2004,Boroondara City Council,-37.81152,145.04885,Southern Metropolitan,10331
Bundoora,71 Settlement Rd,5,h,918000,SP,Barry,21/10/2017,12.1,3083,5,2,2,807,154,1960,Banyule City Council,-37.6972,145.05135,Northern Metropolitan,10175
Doncaster East,19 Richard St,3,h,905000,PI,Jellis,18/11/2017,14.3,3109,3,2,2,513,117,1995,Manningham City Council,-37.7952,145.1684,Eastern Metropolitan,10999
Rowville,30 Westminster Dr,4,h,930000,S,Noel,3/2/18,23.5,3178,4,2,2,664,220,1985,Knox City Council,-37.9302,145.24241,South-Eastern Metropolitan,11667
Brighton East,12 Meyer Ct,4,h,1825000,PI,Buxton,4/6/16,10.7,3187,4,3,2,594,594,1973,Bayside City Council,-37.9029,145.0118,Southern Metropolitan,6938
Carnegie,21 Edgewood St,3,h,1490000,S,Gary,22/08/2016,11.4,3163,3,2,1,371,167,1915,Glen Eira City Council,-37.8871,145.052,Southern Metropolitan,7822
South Yarra,12 Witchwood Cl,3,h,1700000,SP,Biggin,28/08/2016,3.3,3141,2,2,1,181,148,1990,Melbourne City Council,-37.8334,144.9867,Southern Metropolitan,14887
Balwyn North,3/1 Corhampton Rd,2,h,685000,SP,Jellis,22/05/2016,9.2,3104,2,1,1,177,85,1975,Boroondara City Council,-37.7935,145.0679,Southern Metropolitan,7809
Yarraville,5 Maryston St,3,h,1360000,PI,Jas,23/09/2017,6.3,3013,3,1,1,479,128,1930,Maribyrnong City Council,-37.81279,144.87717,Western Metropolitan,6543
Werribee,13 Trent Cl,3,h,501000,S,Barry,6/1/18,14.7,3030,3,1,2,454,113,1992,Wyndham City Council,-37.87912,144.66331,Western Metropolitan,16166
Sunbury,64 Stewarts La,3,h,605000,S,One,26/08/2017,31.7,3429,3,2,2,755,229,1996,Hume City Council,-37.56533,144.71233,Western Metropolitan,14092
Tullamarine,19 Gordon St,4,h,895000,S,Jason,8/7/17,12.9,3043,4,2,2,700,267,1999,Brimbank City Council,-37.70598,144.87616,Western Metropolitan,3296
Alphington,24 Ross St,3,h,1550000,VB,Miles,14/10/2017,5.7,3078,3,1,2,595,132,1940,Darebin City Council,-37.77112,145.02893,Northern Metropolitan,2211
Kew,30 College Pde,4,h,2590000,S,Marshall,18/03/2017,5.6,3101,4,2,2,660,215,1928,Boroondara City Council,-37.8124,145.0361,Southern Metropolitan,10331
Ascot Vale,12 Mirams St,3,h,1750000,PI,Rendina,18/11/2017,4.3,3032,3,2,1,446,185,1890,Moonee Valley City Council,-37.7766,144.9143,Western Metropolitan,6567
Niddrie,45 Shaw St,2,h,1275000,SP,Barry,3/3/18,10.4,3042,2,1,1,650,102,1950,Moonee Valley City Council,-37.74035,144.88715,Western Metropolitan,2291
Westmeadows,11 Erinbank Cr,3,t,490000,S,YPA,28/10/2017,16.5,3049,3,2,2,228,135,2017,Hume City Council,-37.67474,144.90624,Northern Metropolitan,2474
Dallas,13 Murtoa St,3,h,505500,S,YPA,18/11/2017,14,3047,3,1,1,614,110,1965,Hume City Council,-37.6754,144.934,Northern Metropolitan,2246
Middle Park,23 Nimmo St,3,h,2250000,VB,Marshall,29/04/2017,4.1,3206,3,2,1,148,146,1890,Port Phillip City Council,-37.8496,144.963,Southern Metropolitan,2019
Bundoora,71 Wallara Cr,3,h,660000,S,Buckingham,8/7/17,12.1,3083,3,1,2,582,119,1970,Banyule City Council,-37.70301,145.06341,Northern Metropolitan,10175
Bellfield,138 Liberty Pde,3,h,815000,S,Nelson,24/02/2018,8.8,3081,3,1,2,612,102,1950,Banyule City Council,-37.75017,145.03497,Eastern Metropolitan,790
